IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
324,0,1.04,1.11,56.42,56.46,8.13,2.75,2.95,0.93,3.49,3.09,0.79,0.78,4.42,3.96,1.4,80.36,79.31,1586,2328,1880.19
325,0,54.47,54.48,55.77,55.8,7.31,2.56,2.68,0.95,3.09,2.68,0.85,0.83,3.64,3.24,0.53,30.34,30.74,1651,2727,1949.71
326,0,127.66,127.72,56.09,56.11,6.16,1.96,2.07,0.94,2.53,2.19,0.82,0.77,3.08,2.84,1.88,107.97,106.61,1619,2360,1902.6
327,0,74.17,74.18,56.36,56.43,8.64,3.0,3.25,0.92,3.75,3.29,0.65,0.82,5.76,4.01,0.67,38.66,40.78,1578,2512,1877.42
328,0,75.86,75.91,56.36,56.35,5.77,1.84,1.93,0.95,2.34,2.03,0.82,0.78,2.85,2.6,1.23,70.56,72.41,1619,2507,1916.5
329,0,78.45,78.45,56.48,56.48,9.08,3.18,3.59,0.89,3.88,3.37,0.76,0.88,5.12,3.83,0.55,31.29,31.58,1574,2286,1861.91
330,0,20.61,20.64,56.94,56.98,8.21,2.78,3.03,0.92,3.52,3.1,0.67,0.81,5.26,3.84,1.05,60.12,59.22,1574,2328,1879.59
331,0,62.01,62.02,56.03,56.07,7.71,2.62,2.83,0.93,3.25,2.86,0.79,0.81,4.11,3.53,0.2,11.53,10.98,1609,2320,1872.46
332,0,64.09,64.12,56.81,56.84,7.25,2.48,2.6,0.95,3.12,2.73,0.79,0.79,3.93,3.46,0.95,54.32,52.86,1619,2397,1912.24
333,0,50.25,50.26,57.59,57.61,10.5,3.68,3.98,0.93,4.63,4.16,0.76,0.79,6.11,5.26,0.98,55.86,55.67,1581,2356,1879.11
334,0,32.24,32.29,56.62,56.62,8.11,2.81,2.97,0.95,3.48,3.08,0.8,0.79,4.33,3.89,2.9,165.96,169.24,1556,2250,1870.33
336,0,44.13,44.16,58.24,58.26,9.41,3.35,3.59,0.93,4.18,3.68,0.79,0.81,5.29,4.51,1.46,83.76,85.9,1591,2265,1859.21
337,0,2.73,2.77,57.46,57.48,6.57,2.17,2.28,0.95,2.72,2.38,0.85,0.79,3.21,3.01,0.99,56.69,60.33,1629,2282,1881.08
338,0,37.05,37.1,57.4,57.44,12.67,4.43,4.98,0.89,5.57,4.97,0.6,0.82,9.29,6.09,2.89,165.8,164.26,1588,2351,1879.86
339,0,109.59,109.6,57.85,57.86,5.71,1.82,1.89,0.96,2.36,2.03,0.87,0.77,2.7,2.65,2.0,114.44,114.28,1530,2241,1840.9
340,0,75.01,75.06,58.5,58.5,5.71,1.8,1.91,0.94,2.27,1.98,0.79,0.79,2.89,2.51,1.16,66.37,65.89,1624,2286,1871.27
341,0,128.44,128.46,58.7,58.7,7.3,2.42,2.57,0.94,3.14,2.72,0.74,0.78,4.23,3.49,0.7,39.96,40.06,1653,2327,1873.92
342,0,29.45,29.5,59.15,59.21,5.77,1.76,1.85,0.95,2.38,2.06,0.82,0.73,2.9,2.81,1.27,72.55,72.49,1624,2246,1860.25
343,0,18.07,18.12,59.67,59.68,7.84,2.6,2.78,0.93,3.32,2.94,0.79,0.78,4.18,3.79,0.97,55.38,55.74,1606,2229,1857.56
344,0,124.93,124.95,60.26,60.29,11.12,3.84,4.47,0.86,4.84,4.23,0.61,0.89,7.89,4.77,0.94,53.75,53.73,1533,2298,1861.32
345,0,23.21,23.23,58.96,58.97,6.9,2.35,2.5,0.94,2.87,2.52,0.87,0.81,3.31,3.1,2.91,166.91,167.82,1585,2427,1875.42
346,0,101.53,101.58,59.8,59.85,8.98,3.23,3.48,0.93,3.93,3.48,0.65,0.83,6.04,4.22,2.46,141.04,140.11,1569,2256,1835.28
348,0,4.68,4.69,60.12,60.15,7.83,2.66,2.82,0.94,3.34,2.93,0.79,0.79,4.26,3.7,2.03,116.57,117.79,1583,2245,1856.65
349,0,10.4,10.43,60.12,60.13,8.8,3.08,3.28,0.94,3.9,3.44,0.74,0.8,5.26,4.31,2.5,143.13,142.02,1569,2289,1857.22
350,0,114.14,114.18,59.34,59.39,8.28,2.89,3.1,0.93,3.55,3.16,0.79,0.82,4.49,3.87,2.99,171.57,174.41,1567,2259,1839.43
351,0,24.12,24.18,60.71,60.72,7.8,2.73,2.89,0.95,3.38,2.95,0.74,0.82,4.56,3.61,2.48,142.03,140.46,1642,2390,1916.6
352,0,65.13,65.2,60.77,60.83,8.92,3.16,3.38,0.94,3.85,3.38,0.79,0.82,4.9,4.1,0.38,21.8,22.96,1601,2287,1848.26
353,0,28.6,28.61,61.23,61.25,5.43,1.68,1.76,0.95,2.19,1.89,0.79,0.76,2.78,2.48,1.17,67.25,60.01,1584,2269,1874.34
354,0,26.46,26.49,61.95,62.01,8.79,3.14,3.4,0.92,3.73,3.31,0.81,0.85,4.57,3.87,2.08,119.25,120.78,1628,2526,1919.47
355,0,34.19,34.2,61.55,61.57,7.38,2.45,2.6,0.94,3.12,2.73,0.79,0.78,3.97,3.5,0.41,23.36,21.3,1589,2286,1861.02
356,0,120.51,120.51,61.55,61.57,5.7,1.89,1.97,0.96,2.34,1.98,0.91,0.81,2.58,2.43,3.09,176.82,178.97,1580,2354,1872.24
357,0,118.17,118.22,61.75,61.8,5.61,1.77,1.87,0.95,2.31,1.99,0.85,0.76,2.7,2.6,0.17,9.73,5.21,1613,2346,1883.48
359,0,46.48,46.48,63.18,63.23,7.9,2.48,2.67,0.93,3.41,3.04,0.73,0.72,4.69,4.24,1.34,76.76,79.03,1579,2193,1840.97
360,0,9.62,9.64,63.44,63.45,8.51,2.98,3.3,0.91,3.61,3.18,0.74,0.87,4.88,3.67,2.23,127.69,127.09,1579,2515,1886.35
361,0,116.09,116.11,63.51,63.53,6.99,2.32,2.47,0.94,2.92,2.55,0.85,0.79,3.41,3.22,1.77,101.56,98.0,1583,2634,1900.59
362,0,31.46,31.47,63.12,63.18,7.64,2.59,2.75,0.94,3.25,2.83,0.79,0.8,4.1,3.52,0.64,36.87,35.31,1556,2398,1881.13
363,0,59.67,59.67,62.86,62.9,5.22,1.63,1.7,0.96,2.06,1.82,0.81,0.77,2.54,2.35,0.49,28.18,35.35,1578,2587,1917.06
364,0,103.09,103.12,63.51,63.52,7.55,2.51,2.71,0.93,3.17,2.79,0.81,0.79,3.89,3.55,2.06,118.14,115.97,1568,2239,1819.05
365,0,74.81,74.85,63.38,63.42,7.47,2.53,2.64,0.96,3.27,2.86,0.83,0.78,3.95,3.68,2.31,132.58,135.3,1608,2445,1862.35
366,0,71.37,71.42,63.12,63.11,6.82,2.23,2.36,0.94,2.86,2.48,0.82,0.78,3.48,3.18,2.77,158.68,158.11,1582,2303,1855.94
367,0,80.53,80.57,63.57,63.59,6.69,2.24,2.32,0.97,2.9,2.53,0.74,0.77,3.94,3.29,2.34,134.09,133.95,1561,2286,1820.73
368,0,117.33,117.36,63.83,63.84,6.86,2.28,2.37,0.96,2.9,2.52,0.82,0.78,3.53,3.22,1.91,109.65,109.41,1639,2551,1979.21
369,0,122.33,122.36,63.44,63.44,5.38,1.74,1.81,0.96,2.16,1.85,0.82,0.81,2.63,2.3,1.2,68.84,71.31,1603,2286,1848.93
